City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,juneau,58.3019,-134.4197,1.79,97,100,10.29,US,1675646303
212,coquimbo,-29.9533,-71.3436,18.85,82,0,2.57,CL,1675645825
213,black river,18.0264,-77.8487,23.97,78,5,1.69,JM,1675646305
214,marsa matruh,31.3525,27.2453,9.11,71,40,10.29,EG,1675646307
215,antalaha,-14.9003,50.2788,23.12,92,90,2.01,MG,1675646308
216,fort nelson,58.8053,-122.7002,-16.14,81,0,1.03,CA,1675646213
217,naranjal,-2.6667,-79.6167,25.61,82,55,0.82,EC,1675646309
218,de aar,-30.6497,24.0123,22.06,55,0,2.54,ZA,1675646310
219,lagoa,39.05,-27.9833,15.01,84,100,4.44,PT,1675645984
220,rio grande,-32.035,-52.0986,21.75,79,14,3.41,BR,1675646311
221,beringovskiy,63.05,179.3167,-27.36,92,93,5.16,RU,1675646311
222,xining,36.6167,101.7667,-4.93,59,55,1.08,CN,1675646156
223,mana,5.6592,-53.7767,24.03,88,100,5.25,GF,1675646312
224,esperance,-33.8667,121.9,25.14,45,79,8.74,AU,1675646148
225,acarau,-2.8856,-40.12,25.52,85,100,4.29,BR,1675646335
226,filadelfia,39.9523,-75.1638,7.27,58,0,0.0,US,1675645943
227,digapahandi,19.3667,84.5833,16.2,52,20,1.12,IN,1675646335
228,rawah,34.4816,41.9093,11.28,54,23,5.46,IQ,1675646336
229,yasothon,15.75,104.1333,27.24,66,39,1.9,TH,1675646337
230,pemangkat,1.1667,108.9667,25.57,86,100,2.05,ID,1675646337
231,la ronge,55.1001,-105.2842,-4.25,96,100,2.66,CA,1675646132
232,bahar,34.9072,48.4414,-1.91,74,0,2.06,IR,1675646338
233,yeppoon,-23.1333,150.7333,29.88,76,60,7.5,AU,1675646339
234,norman wells,65.282,-126.8329,-29.89,100,72,0.63,CA,1675646159
235,tineo,43.3376,-6.4145,5.14,87,76,1.8,ES,1675646340
236,coahuayana,18.7333,-103.6833,23.24,75,0,1.67,MX,1675646074
237,klyuchi,52.2667,79.1667,-10.54,97,100,1.73,RU,1675646340
238,vysha,53.8477,42.3777,-13.66,98,87,1.48,RU,1675646341
239,namibe,-15.1961,12.1522,21.48,80,100,2.68,AO,1675646154
240,neryungri,56.6709,124.6491,-26.81,96,100,2.22,RU,1675646342
241,nizwa,22.9333,57.5333,19.34,61,72,0.86,OM,1675646345
242,tabuk,17.4189,121.4443,24.31,77,85,1.9,PH,1675646347
243,caravelas,-17.7125,-39.2481,25.75,83,1,4.72,BR,1675646350
244,shenjiamen,29.9576,122.298,11.05,97,100,1.96,CN,1675646353
245,torbay,47.6666,-52.7314,-4.02,79,39,2.24,CA,1675646121
246,tessalit,20.1986,1.0114,18.93,11,0,3.71,ML,1675646209
247,mangrol,21.1167,70.1167,19.4,64,0,4.74,IN,1675646355
248,san patricio,28.017,-97.5169,20.1,85,0,4.27,US,1675646248
249,ancud,-41.8697,-73.8203,14.42,77,69,2.11,CL,1675646139
250,port moresby,-9.4431,147.1797,30.68,70,40,5.14,PG,1675646110
251,nanortalik,60.1432,-45.2371,-7.18,77,100,12.98,GL,1675646145
252,sangar,63.9242,127.4739,-38.91,98,100,1.78,RU,1675646361
253,odienne,9.51,-7.5692,25.6,21,34,0.97,CI,1675646362
254,sao sebastiao,-23.76,-45.4097,25.19,91,100,2.42,BR,1675646362
255,cordoba,-31.4135,-64.1811,25.69,77,0,3.6,AR,1675646363
256,college,64.8569,-147.8028,-13.84,81,40,2.57,US,1675646150
257,ouango,4.3133,22.5552,21.76,29,87,1.0,CF,1675646364
258,kasongo-lunda,-6.4667,16.8167,19.62,97,100,0.37,CD,1675646366
259,sungaipenuh,-2.0833,101.3833,19.98,75,100,0.73,ID,1675646367
260,moerai,-22.4333,-151.3333,26.94,73,75,4.82,PF,1675646367
261,guerrero negro,27.9769,-114.0611,16.1,77,96,8.43,MX,1675646319
262,dwarka,22.2394,68.9678,20.91,80,76,4.24,IN,1675646368
263,mount hagen,-5.8581,144.2274,21.42,68,40,3.09,PG,1675646369
264,lorengau,-2.0226,147.2712,28.48,76,100,2.07,PG,1675646370
265,celestun,20.8667,-90.4,22.76,74,34,6.69,MX,1675646370
266,kahului,20.8947,-156.47,27.01,72,20,9.77,US,1675646013
267,marsh harbour,26.5412,-77.0636,23.52,82,95,8.1,BS,1675646194
268,poum,-20.2333,164.0167,28.96,79,100,7.86,NC,1675645943
269,aksarka,66.5606,67.7975,-26.35,100,36,0.81,RU,1675646372
270,kaohsiung,22.6163,120.3133,23.97,72,75,2.57,TW,1675646257
271,quime,-16.9833,-67.2167,9.22,99,100,1.58,BO,1675646373
272,vostok,46.4856,135.8833,-15.24,86,56,1.67,RU,1675646373
273,ilulissat,69.2167,-51.1,-16.99,78,100,10.8,GL,1675646183
274,tocopilla,-22.092,-70.1979,22.69,82,1,3.18,CL,1675646235
275,oranjestad,12.524,-70.027,26.97,82,20,9.77,AW,1675646320
276,katsuura,35.1333,140.3,9.9,67,9,2.46,JP,1675646150
277,iberia,29.9502,-91.7507,16.04,76,0,2.34,US,1675646374
278,wloclawek,52.6482,19.0678,-4.13,96,100,1.63,PL,1675646375
279,batangafo,7.3008,18.2833,23.2,17,80,1.27,CF,1675646375
280,trincomalee,8.5711,81.2335,25.83,78,100,5.41,LK,1675646376
281,derzhavinsk,51.1,66.3167,-9.55,96,100,1.76,KZ,1675646376
282,basco,20.4487,121.9702,24.84,76,93,5.59,PH,1675646377
283,talas,38.6908,35.5538,-1.63,93,100,7.72,TR,1675646374
284,awbari,26.5921,12.7805,9.14,50,10,2.43,LY,1675646378
285,manavalakurichi,8.1333,77.3,22.91,71,29,2.6,IN,1675646379
286,touros,-5.1989,-35.4608,26.62,76,8,5.07,BR,1675645990
287,padang,-0.9492,100.3543,23.03,77,100,1.62,ID,1675645936
288,porangatu,-13.4408,-49.1486,22.57,89,88,0.86,BR,1675646380
289,porto novo,6.4965,2.6036,26.38,87,100,3.19,BJ,1675646243
290,abu samrah,35.3029,37.1841,7.19,82,52,4.67,SY,1675646380
291,bardiyah,31.7561,25.0865,11.03,63,100,13.09,LY,1675646381
292,dikson,73.5069,80.5464,-18.81,97,100,1.04,RU,1675646011
293,muisne,0.6,-80.0333,25.38,86,66,1.84,EC,1675646382
294,portland,45.5234,-122.6762,10.32,88,75,4.12,US,1675645848
295,uglovskoye,51.3557,80.1942,-7.68,97,100,1.95,RU,1675646383
296,inta,66.0317,60.1659,-14.09,95,99,4.69,RU,1675646318
297,moose jaw,50.4001,-105.5344,0.21,82,100,4.65,CA,1675646130
298,kota belud,6.351,116.4305,27.56,68,10,0.84,MY,1675646384
299,necochea,-38.5473,-58.7368,23.48,46,96,3.39,AR,1675646358
300,cabedelo,-6.9811,-34.8339,27.37,79,18,4.51,BR,1675646385
301,esperantinopolis,-4.8667,-44.7083,23.56,96,100,1.3,BR,1675646385
302,san ramon,37.7799,-121.978,10.62,80,0,5.14,US,1675646277
303,valer,60.6785,11.8331,-13.6,98,100,1.13,NO,1675646386
304,verkhnyaya toyma,62.2349,44.9985,-21.8,100,100,1.26,RU,1675646386
305,homer,59.6425,-151.5483,3.94,68,100,7.72,US,1675646387
306,genhe,50.7833,121.5167,-26.23,100,100,1.15,CN,1675646387
307,brenham,30.1669,-96.3977,18.88,68,0,0.0,US,1675646388
308,san juan,-31.5375,-68.5364,30.73,28,0,4.52,AR,1675646389
309,husavik,66.0449,-17.3389,6.64,67,100,14.75,IS,1675646174
310,praia da vitoria,38.7333,-27.0667,15.42,93,100,7.34,PT,1675645986
311,vardo,70.3705,31.1107,-4.01,93,100,3.6,NO,1675646046
312,wewak,-3.5534,143.6268,25.22,88,100,2.19,PG,1675646390
313,westport,41.1415,-73.3579,5.87,76,100,4.59,US,1675646390
314,qaqortoq,60.7167,-46.0333,-12.05,83,96,8.32,GL,1675646391
315,kholmogory,64.2229,41.656,-18.47,99,13,2.16,RU,1675646391
316,albertville,34.2676,-86.2089,10.94,59,0,2.06,US,1675646191
317,mahebourg,-20.4081,57.7,26.25,88,40,1.54,MU,1675646235
318,verkhnyaya inta,65.9811,60.3094,-14.01,95,99,4.47,RU,1675646352
319,circleville,39.6006,-82.946,8.56,65,0,3.09,US,1675646393
320,acapulco,16.8634,-99.8901,27.9,69,0,3.09,MX,1675646245
321,puqi,29.7167,113.8833,9.26,82,89,0.66,CN,1675646394
322,victoria,22.2855,114.1577,19.62,87,84,1.34,HK,1675645905
323,matai,-8.3,31.5167,14.14,96,100,1.05,TZ,1675646394
324,kulhudhuffushi,6.6221,73.07,26.57,75,100,1.17,MV,1675645957
325,truckee,39.328,-120.1833,0.18,92,100,2.24,US,1675646295
326,talara,-4.5772,-81.2719,26.42,65,0,5.66,PE,1675646395
327,dandong,40.1292,124.3947,-0.57,70,94,1.84,CN,1675646396
328,anadyr,64.75,177.4833,-30.56,74,75,5.0,RU,1675646358
329,almeirim,-1.5233,-52.5817,23.19,96,100,1.42,BR,1675646397
330,mumford,5.2618,-0.759,26.35,90,100,4.96,GH,1675646397
331,sabang,5.8933,95.3214,27.38,70,89,4.02,ID,1675646398
